Clade (upper)|Clade|Order|Family|Taxonomic status|Accepted name|Accepted author|Genome size|Sexual system|Method for the primary characterisation of sex determining system|Miscellaneous genomic information|Source gen contents|Species|Chromosome number|Ploidy level|Sex determination mechanism|Sex chromosomes MALE|Sex chromosomes FEMALE|Heteromorphic/homomorphic sex chromosomes|Source
Angiosperms|Eudicots|Ericales|Ericaceae|Accepted|Empetrum nigrum|L.|1.29|Dioecy||||Empetrum nigrum|26|2x|||||Suda et al 2004
Gymnosperms|Cycadophyta|Cycadales|Zamiaceae|Accepted|Encephalartos natalensis|R.A.Dyer & Verdoorn||Dioecy|RAPD based marker|||Encephalartos natalensis|22|2x|Female heterogamety|ZZ|ZW||Prakash and Van Staden 2006
Gymnosperms|Gnetophyta|Gnetales|Ephedraceae|Accepted|Ephedra foliata|Boiss. ex C.A.Mey.||Dioecy||||Ephedra foliata|14|2x|Male heterogamety|XY|XX|Heteromorphic|Mehra and Khitha 1981
Gymnosperms|Gnetophyta|Gnetales|Ephedraceae|Accepted|Ephedra gerardiana|Wall. ex Stapf||Dioecy|Cytogenetic analysis in mitosis and meiosis|||Ephedra gerardiana|14.0|2x|Male heterogamety|XY|XX|Heteromorphic|Mehra and Khitha 1981
Gymnosperms|Gnetophyta|Gnetales|Ephedraceae|Accepted|Ephedra intermedia|Schrenk & C.A.Mey.||Dioecy and hermaphroditism|Cytogenetic analysis in mitosis and meiosis|||Ephedra intermedia|24.0|4x|||||Mehra and Khitha 1981
Angiosperms|Eudicots|Garryales|Eucommiaceae|Accepted|Eucommia ulmoides|Oliv.|1.31|Dioecy|RAPD based SCAR marker|||Eucommia ulmoides|34.0|2x|Female heterogamety|ZZ|ZW||Xu et al
Green algae|Clorophyta|Chlamydomonadales|Volvocaceae|||||Dioicy|Whole genome sequencing in both sexes|The non-recombining regions of U and V show reduced size in comparison this the mating type regions of the related isogamous species|Hamaji et al 2018|Eudorina sp.|||U/V|V|U||Hamaji et al 2018
Angiosperms|Eudicots|Ericales|Pentaphylacaceae|Accepted|Eurya japonica|Thunb.||Subdioecy||||Eurya japonica|42.0||||||Wang et al 2015
Angiosperms|Eudicots|Rosales|Moraceae|Accepted|Ficus carica|L.|0.73|Functional dioecy|Simple sequence repeat (SSR) markers based high density linkage map; genome sequencing|RESPONSIVE-TO-ANTAGONIST1 (RAN1) orthologue is putative sex determining gene (suppressing ethylene perception and so inducing stamen formation)|Mori et al 2017|Ficus carica|26.0|2x|Male heterogamety|XY|XX|Homomorphic|Mori et al, 2017
Angiosperms|Eudicots|Rosales|Moraceae|Accepted|Ficus fulva|Reinw. ex Blume||Functional dioecy|AFLP based SCAR marker|||Ficus fulva|26.0|2x|Male heterogamety|XY|XX||Parrish et al 2004
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria chiloensis|(L.) Mill.||Dioecy|Genetic mapping of SSRs and gene-ESTs|Genetic mapping of sex determining loci shows female heterogamety|Golgberg et al 2010|Fragaria chiloensis|56.0|8x|Female heterogamety|ZZ|ZW|Homomorphic|Golgberg et al 2010
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria chiloensis|(L.) Mill.||Dioecy|Genetic mapping of SSRs and gene-ESTs|SDR (sex-determining region) is about 280kb and modestly diverged with different recombination rate in male (higher) and female (lower).|Tennessen et al 2016|Fragaria chiloensis|56.0|8x|Female heterogamety|ZZ|ZW|Homomorphic|Golgberg et al 2010
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria chiloensis|(L.) Mill.||Dioecy|Genetic mapping of SSRs and gene-ESTs|Sex determining regions (SDR) in chromosome VI of the Av subgenome (37 Mb). Two linked loci in sex chromosomes for androeacial function (A) and gynoecial function (G).|Wei et al 2017|Fragaria chiloensis|56.0|8x|Female heterogamety|ZZ|ZW|Homomorphic|Golgberg et al 2010
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria moschata|(Duchesne) Duchesne||Dioecy|Sex ratios in interspecific crosses|||Fragaria moschata|42|6x|Female heterogamety|ZZ|ZW|Homomorphic|Lilienfeld 1936 cited by Westergaard 1958
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria virginiana|Mill.||Subdioecy|Genetic mapping of SSRs|In wild North American octoploid strawberries a short (13 kb) sequence was observed in all females and never in males, implicating it as the sex-determining region (SDR). This female-specific “SDR cassette” contains both a gene with a known role in fruit and pollen production and a novel retrogene absent on Z and autosomal chromosomes|Tennessen et al 2018|Fragaria virginiana|56|8x|Female heterogamety|ZZ|ZW|Homomorphic|Spigler et al 2008
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria virginiana|Mill.||Subdioecy|Genetic mapping of SSRs|Sex determining region (SDR) in chromosome VI of B2 subgenome (0-5.5 Mb).|Wei et al 2017|Fragaria virginiana|56|8x|Female heterogamety|ZZ|ZW|Homomorphic|Spigler et al 2008
Angiosperms|Eudicots|Rosales|Rosaceae|Accepted|Fragaria x ananassa|(Nutt. ex Howell) Staudt (pro nm.)|1.22 (8x)|Subdioecy|Genetic mapping of the markers based on SSR and genes|Male sterility region in sex-determining chromosome.|Govindarajulu et al 2013|Fragaria x ananassa|56|8x|Female heterogamety||||Govindarajulu et al 2013
Bryophytes/liverworts|Bryophyta|Jungermanniales|Jubulaceae|Accepted|Frullania dilatata|(L.) Dumort.||Dioecy|Cytogenetic analysis|||Frullania dilatata|16, 17|2x|U/V|V|U1 U2|Heteromorphic|Lorbeer 1934 and Tatuno 1941 cited by Renner at al 2017
Bryophytes/liverworts|Bryophyta|Porellales|Frullaniaceae|Unresolved||||Dioecy|Cytogenetic analysis|||Frullania squarrosa|9 (haploid)|x|Male heterogamety|XY|XX|Heteromorphic|Berrie 1957
Angiosperms|Eudicots|Malpighiales|Clusiaceae|Accepted|Garcinia indica|(Thouars) Choisy||Dioecy|RAPD based SCAR marker|male specific SCAR marker|Joseph et al 2015|Garcinia indica|48, 54||Male heterogamety|XY|XX||Joseph et al 2015
Gymnosperms|Ginkgophyta|Ginkgoales|Ginkgoaceae|Accepted|Ginkgo biloba|L.||Dioecy|Genome wide association study (GWAS)|||Ginkgo biloba|24|2x|Male heterogamety|XY|XX|Heteromorphic|Newcomer 1954 and Pollock 1957 confirmed by Zhang et al 2019
Angiosperms|Eudicots|Rosales|Elaeagnaceae|Synonym|Elaeagnus rhamnoides|(L.) A.Nelson||Dioecy|Cytogenetic analysis and RAPD|Expression analysis of female/male flower buds, identification of genes involved in sex determination (GISD). 21 genes were found to differentially express in either male or female flower bud stages.|Chawla et al 2015|Hippophae rhamnoides|22, 24|2x|Male heterogamety|XY|XX|Heteromorphic|Shchapov 1979 reviewed and confirmed by Persson and Nybon 1998
Angiosperms|Eudicots|Rosales|Elaeagnaceae|Synonym|Elaeagnus rhamnoides|(L.) A.Nelson||Dioecy|Cytogenetic analysis and RAPD|HRML - gender-specific SCAR marker (HRML locus is flanked by two inactive retrotransposons, that is, Ty3-gypsy at the 5′ end and Ty1-copia at the 3′ end). ~7 kb region named as HRMSSR (H. rhamnoides sex-specific region).|Mangla et al 2019|Hippophae rhamnoides|22, 24|2x|Male heterogamety|XY|XX|Heteromorphic|Shchapov 1979 reviewed and confirmed by Persson and Nybon 1998
Angiosperms|Eudicots|Rosales|Elaeagnaceae|Synonym|Elaeagnus rhamnoides|(L.) A.Nelson||Dioecy|Cytogenetic analysis and RAPD|Satellite repeats HRTR1and HRTR8 are localized on X chromosome where HRTR8 is particularly accumulated on X chromosome. Satellite family HRTR12 is specific to Y. Sex chromosome-accumulated HRTR2 is common for both X and Y. Transposable elements like Ty3-gysy (CRM, Chromovirus, Athila) and Ty1-copia (TAR) are localized at the subtelomere region of the sex chromosome. All transposable elements represented together 24% of male and 23% of female genome. Ty1/Copia retrotransposons formed 12%, Ty3/Gypsy retrotransposons 11% and DNA transposons 1.5% of male genome.|Puterova et al 2017|Hippophae rhamnoides|22, 24|2x|Male heterogamety|XY|XX||Shchapov 1979 reviewed and confirmed by Persson and Nybon 1998
Angiosperms|Eudicots|Rosales|Elaeagnaceae|Synonym|Elaeagnus rhamnoides|(L.) A.Nelson||Dioecy|Cytogenetic analysis and RAPD|The sex-specific SCAR marker Hrcx-15.|Zhou et al 2018|Hippophae rhamnoides|22, 24|2x|Male heterogamety|XY|XX|Heteromorphic|Shchapov 1979 reviewed and confirmed by Persson and Nybon 1998
Angiosperms|Eudicots|Caryophyllales|Caryophyllaceae|Accepted|Honckenya peploides|(L.) Ehrh.|8.66|Subdioecy|Sex ratios in the progeny of selfed androhermaphrodite|||Honckenya peploides|68|4x|Male heterogamety|XXXY|XXXX|Homomorphic|Malling et al 1957
Angiosperms|Eudicots|Rosales|Cannabaceae|Synonym|Humulus scandens|(Lour.) Merr.||Dioecy|Cytogenetic analysis in mitosis and meiosis|H. japonicus sex chromosomes-specific DNA library was created and compared sequences with H. lupulus and C. sativa, using the laser microdissection. HJSR - KpnI species specific subtelomeric repeat are found on one arm of the X chromosome and both arms of Y1. HJSR repeats are not present in Y2 chromosome. - Male specific transposable elements (TEs) are identified. The ISSR primer K16 demonstrated stable amplification of an approximately 300bp fragment in all male plants and the lack of amplification in all female plants.|Aleksandrov et al 2011|Humulus japonicus|16, 17|2x|Male heterogamety, X:0 (autosome) balance system|X Y1 Y2|XX|Heteromorphic|Kihara and Hiratoshi 1932 confirmed and made more precise by Jacobsen 1957
Angiosperms|Eudicots|Rosales|Cannabaceae|Synonym|Humulus scandens|(Lour.) Merr.||Dioecy|Cytogenetic analysis in mitosis and meiosis|H. japonicus sex chromosomes-specific DNA library was created and compared sequences with H. lupulus and C. sativa, using the laser microdissection. HJSR - KpnI species specific subtelomeric repeat are found on one arm of the X chromosome and both arms of Y1. HJSR repeats are not present in Y2 chromosome. - Male specific transposable elements (TEs) are identified. The ISSR primer K16 demonstrated stable amplification of an approximately 300bp fragment in all male plants and the lack of amplification in all female plants.|Li et al 2016|Humulus japonicus|16, 17|2x|Male heterogamety, X:0 (autosome) balance system|X Y1 Y2|XX|Heteromorphic|Kihara and Hiratoshi 1932 confirmed and made more precise by Jacobsen 1956
Angiosperms|Eudicots|Rosales|Cannabaceae|Accepted|Humulus lupulus|L.||Dioecy|Cytogenetic analysis in mitosis and meiosis|Sex determining locus with suppresion of recombination. Y chromosome smaller than X chromosome. High copy sequence of hop (HSR1) present in the long arm of both X (subtelomeric and near-centromeric region) and Y (telomeric). All chromosomes including sex chromsome have subtelomeric KpnI-repeats.|Divashuk et al 2011|Humulus lupulus|20|2x|Male heterogamety, X:0 (autosome) balance system|XY|XX|Heteromorphic|Winge 1923 confirmed by Jacobsen 1957
Angiosperms|Eudicots|Rosales|Cannabaceae|Accepted|Humulus lupulus|L.||Dioecy|Cytogenetic analysis in mitosis and meiosis|MSR (male specific region) and PAR (pseudoautosomal region) identified in hops.Acetyl-CoA carboxylase 1 gene found within the PAR region (helps catalyze the first step of the humulone biosynthesis pathway.) WRKY domain binding protein also exists on the PAR.|Hill et al 2016|Humulus lupulus|20|2x|Male heterogamety, X:0 (autosome) balance system|XY|XX|Heteromorphic|Winge 1923 confirmed by Jacobsen 1957
Angiosperms|Eudicots|Rosales|Cannabaceae|Accepted|Humulus lupulus|L.||Dioecy|Cytogenetic analysis in mitosis and meiosis|HlAGA7 microsatellite allele, male-specific, higly variable in the germplasm. Sex-linked marker.|Jaksa et al 2008|Humulus lupulus|20|2x|Male heterogamety, X:0 (autosome) balance system|XY|XX|Heteromorphic|Winge 1923 confirmed by Jacobsen 1957
Angiosperms|Eudicots|Rosales|Cannabaceae|Accepted|Humulus lupulus|L.||Dioecy|Cytogenetic analysis in meiosis|||Humulus lupulus|20|2x|Male heterogamety, X:0 (autosome) balance system|X1 X2 Y1 Y2|X1 X1 X2 X2|Heteromorphic|Ono 1937 (in Japanese with English summary)
Angiosperms|Eudicots|Rosales|Cannabaceae|Accepted|Humulus scandens|(Lour.) Merr.||Dioecy|Cytogenetic analysis in mitosis with FISH|||Humulus scandens|17, 16|2x|Male heterogamety, X:0 (autosome) balance system|X Y1 Y2|XX||Alexandrov et al 2012
Angiosperms|Eudicots|Rosales|Cannabaceae|Accepted|Humulus yunnanensis|Hu||Dioecy||||Humulus yunnanensis|21, 20|2x|Male heterogamety, X:0 (autosome) balance system|X Y1 Y2|XX|Heteromorphic|reviewed by Kumar et al 2014
Angiosperms|Eudicots|Malpighiales|Salicaceae|Accepted|Idesia polycarpa|Maxim.||Dioecy|RAPD based SCAR marker|Female specific SCAR marker|Wang et al 2015|Idesia polycarpa|44|2x|Female heterogamety|ZZ|ZW|Homomorphic|Wang et al 2015
Angiosperms|Eudicots|Aquifoliales|Aquifoliaceae|Accepted|Ilex paraguariensis|A.St.-Hil.|2.2|Functional dioecy|Unsuccessful attempt to isolated sex associated sequences via RDA and SSCP screening of the candidates|||Ilex paraguariensis|40|2x||||Homomorphic?|Gottlieb and Poggio 2010
Angiosperms|Eudicots|Brassicales|Brassicaceae|Accepted|Lepidium sisymbryoides|Hook.|1.27|Dioecy|Dioecy reported|Phylogenetic and cytogenetic study showing that Lepidium sisymbryoides is allooctoploid|Soza et al 2014|Lepidium sisymbryoides|64|8x|||||Bateman 1955
Angiosperms|Eudicots|Proteales|Proteaceae|Accepted|Leucadendron xanthoconus|K. Schum.||Dioecy|Dioecy and sexual dimorphism reported|||Leucadendron xanthoconus|26||||||Harris and Pannell 2010
Angiosperms|Eudicots|Laurales|Lauraceae|Accepted|Litsea cubeba|(Lour.) Pers.||Dioecy|SRAP based SCAR marker|Female associated SCAR marker|Wu et al 2015|Litsea cubeba|24|2x|Female heterogamety|ZZ|ZW|Homomorphic|Wu et al 2015
Bryophytes/liverworts|Marchantiophyta|Marchantiales|Marchantiaceae|Synonym|Marchantia papillata subsp. inflexa (Nees & Mont.) R.M. Schust.|(Nees & Mont.) R.M. Schust.|||sequencing and draft assembly of the male and female genomes, validation of sex specific markers with PCR|||Marchantia inflexa|9 (haploid)||U/V|V|U||Marks et al 2019
Bryophytes/liverworts|Marchantiophyta|Marchantiales|Marchantiaceae|Accepted|Marchantia polymorpha|L.||Dioicy|Construction and screening of male and female PAC genomic libraries|Two female-specific and six male-specific DNA fragments were genetically confirmed to originate from the X and Y chromosomes - isolation of X and Y chromosome-specific DNA markers.|Fujisawa et al 2001|Marchantia polymorpha|9 (haploid)|x|U/V|V|U|Heteromorphic|Okada et al 2000
Bryophytes/liverworts|Marchantiophyta|Marchantiales|Marchantiaceae|Accepted|Marchantia polymorpha|L.||Dioicy|Construction and screening of male and female PAC genomic libraries|On the 10 megabase (Mb) Y chromosome, 64 genes are identified, 14 of which are detected only in the male genome. These 14 genes are expressed in reproductive organs but not in vegetative thalli, suggesting their participation in male reproductive functions.|Fujisawa et al 2001|Marchantia polymorpha|9 (haploid)|x|U/V|V|U|Heteromorphic|Okada et al 2000
Bryophytes/liverworts|Marchantiophyta|Marchantiales|Marchantiaceae|Accepted|Marchantia polymorpha|L.||Dioicy|Construction and screening of male and female PAC genomic libraries|In the haploid dioecious liverwort, Marchantia polymorpha, the X chromosome, but not the Y, carries a cluster of ribosomal RNA genes (rDNAs). Sequences of 5S, 17S, 5.8S and 26S rDNAs are highly conserved (>99% identity) between the X chromosomal and autosomal rDNA repeat units, but the intergenic spacer sequences differ considerably. 615-bp DNA fragment in the intergenic spacer, X615, which has accumulated predominantly in the rDNA cluster of the X chromosome. These observations suggest that the rDNA repeat unit on the X chromosome evolved independently of that on autosomes, incorporating sex chromosome-specific sequences.|Fujisawa et al 2003|Marchantia polymorpha|9 (haploid)|x|U/V|V|U|Heteromorphic|Okada et al 2000
Bryophytes/liverworts|Marchantiophyta|Marchantiales|Marchantiaceae|Accepted|Marchantia polymorpha|L.||Dioicy|Construction and screening of male and female PAC genomic libraries|Several chromosome-specific sequence elements of approximately 70 to 400 nt are combined into larger arrangements, which in turn are assembled into extensive Y chromosome-specific stretches. These repeat sequences contribute 2-3 Mb to the Y chromosome. Novel Y chromosome-specific gene family was found embedded among these repeat sequences. This gene family encodes a putative protein with a RING finger motif and is expressed specifically in male sexual organs.|Okada et al 2011|Marchantia polymorpha|9 (haploid)|x|U/V|V|U|Heteromorphic|Okada et al 2000
Angiosperms|Eudicots|Malpighiales|Euphorbiaceae|Accepted|Mercurialis annua|L.|1.33|Dioecy|Testing of the male specificity in sequences isolated using RNAseq and genome capture; sequencing of corresponding BACs from Y-chromosome; isolation of candidate sex determining genes|Dioeciousness is controlled by three genes. Maleness depends on two complementary genes A and one of the B genes. Male strength (sensitivity to feminizing hormones) depends on the number of dominant B genes. Dominant A, or dominant B alone induces femaleness. Exogenous auxins induce staminate flowers on female nodes; cytokinins induce pistillate flowers on male plants. Endogenous auxin and cytokinins were measured (HPLC/GC/MS) in isogenic lines constructed for the allelic combinations of sex genes. Role of phytohormones in sex determination|Durand and Durand 1991|Mercurialis annua|16|2x|Male heterogamety|XY|XX|Homomorphic|Veltsos et al 2018
Angiosperms|Eudicots|Malpighiales|Euphorbiaceae|Accepted|Mercurialis annua|L.|1.33|Dioecy|Testing of the male specificity in sequences isolated using RNAseq and genome capture; sequencing of corresponding BACs from Y-chromosome; isolation of candidate sex determining genes|In the study populations of Durand and Durand, dioeciousness was controlled by three genes. Maleness depended mainly on the presence of dominant allele in locus A and but homozygous recessive status in two complemetary loci (B1and B2) was able to provoke femaleness. Male strength (sensitivity to feminizing hormones) depended on the number of dominant alleles in B genes. Exogenous auxins induce staminate flowers on female nodes; cytokinins induce pistillate flowers on male plants. Endogenous auxin and cytokinins were measured (HPLC/GC/MS) in isogenic lines constructed for the allelic combinations of sex genes. Role of phytohormones in sex determination was described. Current interpretation of the results by Duran and Durand 1991 can be that A locus represents the XX/XY system while two B loci were autosomal modifiers of sex expression.|Durand and Durand 1991|Mercurialis annua|16|2x|Male heterogamety|XY|XX|Homomorphic|Veltsos et al 2018
Angiosperms|Eudicots|Malpighiales|Euphorbiaceae|Accepted|Mercurialis annua|L.|1.33|Dioecy|Testing of the male specificity in sequences isolated using RNAseq and genome capture; sequencing of corresponding BACs from Y-chromosome; isolation of candidate sex determining genes|A single locus sex determination with dominant male and recessive female allele. The SDR content mapped and estimated, 17 new single or low-copy Y-linked markers discovered. SDR lenght about 14.5 Mb.|Veltsos et al 2018|Mercurialis annua|16|2x|Male heterogamety|XY|XX|Homomorphic|Veltsos et al 2018
Angiosperms|Eudicots|Malpighiales|Euphorbiaceae|Accepted|Mercurialis annua|L.||Monoecy and androdioecy|Intraspecific crosses between androsioecious and dioecious clade|||Mercurialis annua|48|6x|Male heterogamety (hermaphrodites are modified Females)|||Homomorphic|Russell and Pannell 2015
Angiosperms|Eudicots|Malpighiales|Euphorbiaceae|Accepted|Mercurialis perennis|L.|3.05|Dioecy|Dioecy and sexual dimorphism reported|||Mercurialis perennis|64|8x, 10x||||Homomorphic|Vandepitte et al 2009
Angiosperms|Eudicots|Cucurbitales|Cucurbitaceae|Accepted|Momordica cochinchinensis|(Lour.) Spreng.||Dioecy|Dioecy and karyotypes suggesting absence of heteromorphic sex chromosomes reported|||Momordica cochinchinensis|28|||||Homomorphic|Bharathi et al 2011
Angiosperms|Eudicots|Cucurbitales|Cucurbitaceae|Accepted|Momordica cymbalaria|Hook. f.||Dioecy|Dioecy and karyotypes suggesting absence of heteromorphic sex chromosomes reported|||Momordica cymbalaria|18|2x||||Homomorphic|Bharathi et al 2011
Angiosperms|Eudicots|Cucurbitales|Cucurbitaceae|Accepted|Momordica dioica|Roxb. ex Willd.||Dioecy|ISSR based SCAR marker|22 kD polypeptide (p-22) in the female sex which was not detected in its male counterpart. Variation in the intensity of 29 kD and 32 kD (found in male) polypeptides of male and female sex forms suggests that the interplay of these two sex linked polypeptides may be a contributing factor in controlling sex mechanism of dioecious Momordica dioica.|Sinha et al 2001|Momordica dioica|28|2x|Male heterogamety|XY|XX|Homomorphic|Mohanty et al 2016
Angiosperms|Eudicots|Cucurbitales|Cucurbitaceae|Accepted|Momordica dioica|Roxb. ex Willd.||Dioecy|ISSR based SCAR marker|22 kD polypeptide (p-22) in the female sex which was not detected in its male counterpart. Variation in the intensity of 29 kD and 32 kD (found in male) polypeptides of male and female sex forms suggests that the interplay of these two sex linked polypeptides may be a contributing factor in controlling sex mechanism of dioecious Momordica dioica.|Sinha et al 2001|Momordica dioica|28|2x|Male heterogamety|XY|XX|Homomorphic|Mohanty et al 2016
Angiosperms|Eudicots|Cucurbitales|Cucurbitaceae|Unresolved||||Dioecy|Dioecy and karyotypes suggesting absence of heteromorphic sex chromosomes reported|||Momordica sahyadrica|28.0|2x||||Homomorphic|Bharathi et al 2011
Angiosperms|Eudicots|Cucurbitales|Cucurbitaceae|Accepted|Momordica subangulata|Blume||Dioecy|Dioecy and karyotypes suggesting absence of heteromorphic sex chromosomes reported|||Momordica subangulata|56.0|4x||||Homomorphic|Bharathi et al 2011
Angiosperms|Eudicots|Fagales|Myricaceae|Accepted|Myrica rubra|Siebold & Zucc.|0.65|Dioecy|Male and female genome assembly; female heterogamety proved by genetic mapping; detailed analysis of the Z and W specific regions; identification of candidate genes for sex determination|||Myrica rubra|16.0|2x|Female heterogamety|ZZ|ZW|Homomorphic|Jia et al 2019
Angiosperms|Eudicots|Magnoliales|Myristicaceae|Accepted|Myristica fragrans|Houtt.|2.4|Dioecy|RAPD based female specific marker identified; further confirmation necessary|||Myristica fragrans|42.0|2x|Female heterogamety|ZZ|ZW|Homomorphic|Shibu et al 2000
Bryophytes/mosses|Bryophyta|Orthotrichales|Orthotrichaceae|Synonym|Orthotrichum obtusifolium|Brid.||Dioecy|ISSR markers for U and V chromosomes|||Nyholmiella obtusifolia|36.0||||||Milewicz and Sawicki 2011
Angiosperms|Monocots|Pandanales|Pandanaceae|||L.||Dioecy|RAPD based SCAR marker|||Pandanus fascicularis|||Male heterogamety|XY|XX||Vinod et al 2007
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix dactylifera|L.|1.68|Dioecy|SSR markers|Tormozembryo Defective (TOZ19) gene present in the unplaced genomic scaffold (DPV01 pds000016). TOZ19 gene has sex-linked SNPs. Because these two genes clustered in a sex-chromosome (X and Y) specific way, therefore they have the potential to be used as a marker of early stage plant sex-determination.|Ali et al 2017|Phoenix dactylifera|36.0|2x|Male heterogamety|XY|XX|Homomorphic|Cherif et al 2013
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix dactylifera|L.|1.68|Dioecy|SSR markers|Three SSR markers (mPdIRDP80, mPdIRDP50 and mPdIRDP52) are potentially sex-linked.|Cherif et al 2012|Phoenix dactylifera|36.0|2x|Male heterogamety|XY|XX|Homomorphic|Cherif et al 2013
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix dactylifera|L.|1.68|Dioecy|SSR markers|Phylogenetic analysis of a date palm sex-linked PdMYB1 gene in these species has revealed that sex-linked alleles have not clustered in a species-dependent way but rather in X and Y-allele clusters.|Cherif et al 2016|Phoenix dactylifera|36.0|2x|Male heterogamety|XY|XX|Homomorphic|Cherif et al 2013
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix dactylifera|L.|1.68|Dioecy|SSR markers|Sex-determination region is present in the telomeric region and linkage group 12. Genetic recombination is not fully suppressed in the sex chromosome.|Mathew et al 2014|Phoenix dactylifera|36.0|2x|Male heterogamety|XY|XX|Homomorphic|Cherif et al 2013
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix dactylifera|L.|1.68|Dioecy|SSR markers|The pivotal sex determination region of Y chromosome contains Date-SRY gene.|Mohei et al 2017|Phoenix dactylifera|36|2x|Male heterogamety|XY|XX|Homomorphic|Cherif et al 2013
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix dactylifera|L.|1.68|Dioecy|SSR markers|Results of genus wide study: CYP703 and GPAT3, two single copy genes present in males and critical for male flower development in other monocots, were absent in females. A LOG-like gene appears translocated into the Y-linked region and is suggested to play a role in suppressing female flowers.|Torres et al 2018|Phoenix dactylifera|36|2x|Male heterogamety|XY|XX|Homomorphic|Cherif et al 2013
Angiosperms|Monocots|Arecales|Arecaceae|Accepted|Phoenix rupicola|T.Anderson|3.00|Dioecy|Genus-wide DNAseq; search for sex specific k-mers|Results of genus wide study: CYP703 and GPAT3, two single copy genes present in males and critical for male flower development in other monocots, were absent in females. A LOG-like gene appears translocated into the Y-linked region and is suggested to play a role in suppressing female flowers.|Torres et al 2018|Phoenix rupicola|36|2x|Male heterogamety|XY|XX|Homomorphic|Torres et al 2018
Gymnosperms|Pinophyta|Pinales|Pinaceae|Synonym|Pinus cembroides var. bicolor|Little|63.2|Dioecy|Dioecy reported|||Pinus johannis|24|2x|||||Flores-Rentería et al 2013
Angiosperms|Eudicots|Piperales|Piperaceae|Accepted|Piper betle|L.|1.50 (4x)|Dioecy|AFLP marker|Reports two male associated AFLP markers|Goyat et al 2019|Piper betle|45, 48, 52, 56, 64, 72|Variable|Male heterogamety||||Goyat et al 2019
Angiosperms|Eudicots|Piperales|Piperaceae|Accepted|Piper longum|L.|1.40 (4x)|Dioecy|RAPD markers|Reports two male associated RAPD markers|Banerjee et al 1999|Piper longum|52||Male heterogamety||||Banerjee et al 1999
Angiosperms|Eudicots|Sapindales|Anacardiaceae|Accepted|Pistacia chinensis|Bunge||Dioecy|RAPD based SCAR marker|Ten different proteins were differentially expressed in male and female plant of P. chinensis. Six of them were identified and characterized. Differentially expressed proteins were NB-ARC domain, chlorophyll a/b binding protein, eukaryotic translation initiation protein, phosphoglycerate kinase, temperature induced lipocalin, ascorbate peroxidase.|Xiong et al 2013|Pistacia chinensis|||Female heterogamety|ZZ|ZW|Heteromorphic?|Sun et al 2014
Angiosperms|Eudicots|Sapindales|Anacardiaceae|Accepted|Pistacia vera|L.||Dioecy|Molecular cytogenetics|HC1 pair (compatible with ZW sex chromosomes) enriched in the pistachio specific satellite PIVE-40. PIVE-40 is a 43 bp monomer, probably arranged in higher order repeats (HORs) of two units.|Sola-Campoy et al 2015|Pistacia vera|32|2x|Female heterogamety|ZZ|ZW|Heteromorphic|Sola-Campoy et al 2015
Angiosperms|Eudicots|Sapindales|Anacardiaceae|Accepted|Pistacia vera|L.||Dioecy|Molecular cytogenetics|HC1 pair (compatible with ZW sex chromosomes) enriched in the pistachio specific satellite PIVE-40. PIVE-40 is a 43 bp monomer, probably arranged in higher order repeats (HORs) of two units.|Sola-Campoy et al 2015|Pistacia vera|32|2x|Female heterogamety|ZZ|ZW|Heteromorphic|Sola-Campoy et al 2015
Angiosperms|Eudicots|Sapindales|Anacardiaceae|Accepted|Pistacia vera|L.||Dioecy|Molecular cytogenetics|HC1 pair (compatible with ZW sex chromosomes) enriched in the pistachio specific satellite PIVE-40. PIVE-40 is a 43 bp monomer, probably arranged in higher order repeats (HORs) of two units.|Sola-Campoy et al 2015|Pistacia vera|32|2x|Female heterogamety|ZZ|ZW|Heteromorphic|Sola-Campoy et al 2015
Angiosperms|Monocots|Poales|Poaceae|Accepted|Poa arachnifera|L.||Dioecy|AFLP marker based genetic mapping|Two AFLP markers (txbg7 and txbg154) mapped equidistantly (9.5 cM) on opposite sides of the dioecy locus (PDio1) on the paternal map.|Renganayaki et al 2005|Poa arachnifera|42, 84, 63, 56, 54||||||Renganayaki et al 2005
Gymnosperms|Pinophyta|Pinales|Podocarpaceae|Accepted|Podocarpus longifoliolatus|Pilg.||Dioecy|Cytogenetic investigation|Orthologs of MADS-box gene AGAMOUS (AG) in P. reichei related with female cone develoment is called PodAG|Englund et al 2011|Podocarpus longifoliolatus|37, 38|2x|Male heterogamety|X1 X2 Y|X1 X1 X2 X2|Heteromorphic|Hair et al 1958 reviewed by Ohri and Rastogi 2019
